Wakkanai,    稚内市,  Hokkaidō,    37911,  760.83,  49.8,    1949-04-01
Bibai,   美唄市,  Hokkaidō,    25312,  277.61,  91.2,    1950-04-01
Ashibetsu,   芦別市,  Hokkaidō,    16465,  865.02,  19.0,    1953-04-01
Ebetsu,  江別市,  Hokkaidō,    120940,     187.57,  645,     1954-07-01
Akabira,     赤平市,  Hokkaidō,    12234,  129.88,  94.2,    1954-07-01
Monbetsu,    紋別市,  Hokkaidō,    24293,  830.70,  29.2,    1954-07-01
Mikasa,  三笠市,  Hokkaidō,    10070,  302.64,  33.3,    1957-04-01
Nemuro,  根室市,  Hokkaidō,    28923,  512.63,  56.4,    1957-08-01
Chitose,     千歳市,  Hokkaidō,    94124,  594.95,  158,     1958-07-01
Takikawa,    滝川市,  Hokkaidō,    42815,  115.82,  370,     1958-07-01
Sunagawa,    砂川市,  Hokkaidō,    18740,  78.69,   238,     1958-07-01
Utashinai,   歌志内市,    Hokkaidō,    4259,   55.99,   76.1,    1958-07-01
Fukagawa,    深川市,  Hokkaidō,    23215,  529.23,  43.9,    1963-05-01
Furano,  富良野市,    Hokkaidō,    23890,  600.97,  39.8,    1966-05-01
Noboribetsu,     登別市,  Hokkaidō,    51474,  212.11,  243,     1970-08-01
Eniwa,   恵庭市,  Hokkaidō,    68754,  294.87,  233,     1970-11-01
Date,    伊達市,  Hokkaidō,    36461,  444.28,  82.1,    1972-04-01
Kitahiroshima,   北広島市,    Hokkaidō,    60291,  118.54,  509,     1996-09-01
Ishikari,    石狩市,  Hokkaidō,    60616,  721.86,  84.0,    1996-09-01
Shibetsu,    士別市,  Hokkaidō,    21640,  1119.29,    19.3,    2005-09-01
Kushiro,     釧路市,  Hokkaidō,    182263,     1362.75,    134,     2005-10-11
Hokuto,  北斗市,  Hokkaidō,    48779,  397.30,  123,     2006-02-01
Kitami,  北見市,  Hokkaidō,    124291,     1427.56,    87.1,    2006-03-05
Nayoro,  名寄市,  Hokkaidō,    29869,  535.23,  55.8,    2006-03-27
Kobe,    神戸市,  Hyōgo,   1530847,   552.23,  2772,   1889-04-01
Himeji,  姫路市,  Hyōgo,   536170,     534.27,  1004,   1889-04-01
Amagasaki,   尼崎市,  Hyōgo,   461202,     49.77,   9267,   1916-04-01
Akashi,  明石市,  Hyōgo,   292162,     49.24,   5933,   1919-11-01
Nishinomiya,     西宮市,  Hyōgo,   477056,     99.96,   4772,   1925-04-01
Ashiya,  芦屋市,  Hyōgo,   92828,  18.47,   5026,   1940-11-10
Itami,   伊丹市,  Hyōgo,   194488,     24.97,   7789,   1940-11-10
Aioi,    相生市,  Hyōgo,   31973,  90.45,   353,     1942-10-01
Toyooka,     豊岡市,  Hyōgo,   87555,  697.66,  125,     1950-04-01
Kakogawa,    加古川市,    Hyōgo,   267631,     138.51,  1932,   1950-06-15
Akō,     赤穂市,  Hyōgo,   51277,  126.88,  404,     1951-09-01
Takarazuka,  宝塚市,  Hyōgo,   222071,     101.80,  2181,   1954-04-01
Miki,    三木市,  Hyōgo,   83244,  176.58,  471,     1954-06-01
Takasago,    高砂市,  Hyōgo,   94198,  34.40,   2738,   1954-07-01
Kawanishi,   川西市,  Hyōgo,   157461,     53.44,   2947,   1954-08-01
Ono,     小野市,  Hyōgo,   49664,  92.92,   534,     1954-12-01
Sanda,   三田市,  Hyōgo,   113600,     210.22,  540,     1958-07-01
Kasai,   加西市,  Hyōgo,   48435,  150.95,  321,     1967-04-01
Sasayama,    篠山市,  Hyōgo,   44345,  377.61,  117,     1999-04-01
Yabu,    養父市,  Hyōgo,   27428,  422.78,  64.9,    2004-04-01
Tamba,   丹波市,  Hyōgo,   69233,  493.28,  140,     2004-11-01
Minamiawaji,     南あわじ,市,  Hyōgo,   51069  229.18,,  223     2005-01-11
Asago,   朝来市,  Hyōgo,   34084,  402.98,  84.6,    2005-04-01
Awaji,   淡路市,  Hyōgo,   47849,  184.21,  260,     2005-04-01
Shisō,   宍粟市,  Hyōgo,   42302,  658.60,  64.2,    2005-04-01
Nishiwaki,   西脇市,  Hyōgo,   43126,  132.47,  326,     2005-10-01
Tatsuno,     たつの,市,    Hyōgo,   80988  210.93,,  384     2005-10-01
Sumoto,  洲本市,  Hyōgo,   48631,  182.47,  267,     2006-02-11
Katō,    加東市,  Hyōgo,   39935,  157.49,  254,     2006-03-20
Mito,    水戸市,  Ibaraki,     264062,     217.43,  1214,   1889-04-01
Hitachi,     日立市,  Ibaraki,     195844,     225.55,  868,     1939-09-01
Tsuchiura,   土浦市,  Ibaraki,     143986,     113.82,  1265,   1940-11-03
Yūki,    結城市,  Ibaraki,     52065,  65.84,   791,     1954-03-15
